,DBN,SCHOOL NAME,Num of SAT Test Takers,Sum,Graduation rate
0,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,67.2
1,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,62.5
2,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,62.0
3,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,72.5
4,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,71.8
5,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,77.8
6,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,78.9
7,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
8,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
9,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
10,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
11,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
12,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
13,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
14,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,67.3
15,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,63.8
16,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,61.1
17,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,75.3
18,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,71.4
19,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,78.4
20,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,79.5
21,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
22,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
23,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,60.9
24,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
25,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
26,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
27,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
28,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,67.3
29,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,60.4
30,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,62.5
31,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,77.0
32,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,75.4
33,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,81.4
34,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,82.9
35,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
36,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
37,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
38,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
39,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
40,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
41,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
42,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
43,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,61.5
44,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,76.9
45,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
46,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,56.5
47,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,72.0
48,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,72.0
49,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,60.5
50,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,63.2
51,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,62.2
52,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,76.1
53,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,75.0
54,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,78.8
55,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,80.8
56,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
57,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
58,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
59,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
60,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
61,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,
62,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,63.6
63,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,66.7
64,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,70.6
65,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,68.9
66,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,76.6
67,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,80.5
68,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,80.5
69,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,71.4
70,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,59.0
71,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,55.6
72,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,77.1
73,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,65.8
74,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,75.5
75,1M450,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,1111,77.6
76,1M450,PACE HIGH SCHOOL,85,1293,67.2
77,1M450,PACE HIGH SCHOOL,85,1293,62.5
78,1M450,PACE HIGH SCHOOL,85,1293,62.0
79,1M450,PACE HIGH SCHOOL,85,1293,72.5
80,1M450,PACE HIGH SCHOOL,85,1293,71.8
81,1M450,PACE HIGH SCHOOL,85,1293,77.8
82,1M450,PACE HIGH SCHOOL,85,1293,78.9
83,1M450,PACE HIGH SCHOOL,85,1293,
84,1M450,PACE HIGH SCHOOL,85,1293,
85,1M450,PACE HIGH SCHOOL,85,1293,
86,1M450,PACE HIGH SCHOOL,85,1293,
87,1M450,PACE HIGH SCHOOL,85,1293,
88,1M450,PACE HIGH SCHOOL,85,1293,
89,1M450,PACE HIGH SCHOOL,85,1293,
90,1M450,PACE HIGH SCHOOL,85,1293,67.3
91,1M450,PACE HIGH SCHOOL,85,1293,63.8
92,1M450,PACE HIGH SCHOOL,85,1293,61.1
93,1M450,PACE HIGH SCHOOL,85,1293,75.3
94,1M450,PACE HIGH SCHOOL,85,1293,71.4
95,1M450,PACE HIGH SCHOOL,85,1293,78.4
96,1M450,PACE HIGH SCHOOL,85,1293,79.5
97,1M450,PACE HIGH SCHOOL,85,1293,
98,1M450,PACE HIGH SCHOOL,85,1293,
99,1M450,PACE HIGH SCHOOL,85,1293,60.9
100,1M450,PACE HIGH SCHOOL,85,1293,
101,1M450,PACE HIGH SCHOOL,85,1293,
102,1M450,PACE HIGH SCHOOL,85,1293,
103,1M450,PACE HIGH SCHOOL,85,1293,
104,1M450,PACE HIGH SCHOOL,85,1293,67.3
105,1M450,PACE HIGH SCHOOL,85,1293,60.4
106,1M450,PACE HIGH SCHOOL,85,1293,62.5
107,1M450,PACE HIGH SCHOOL,85,1293,77.0
108,1M450,PACE HIGH SCHOOL,85,1293,75.4
109,1M450,PACE HIGH SCHOOL,85,1293,81.4
